Area,MjrAxisLength,MnrAxisLength,Eccentricity,ConvexArea,EquivDiameter,Solidity,Extent,Perimeter,ConvexPerim,FibLen,InscribeR,BlebLen,Class
355.3141,23.6127,20.4547,0.4996,425.5155,21.2697,0.83502,0.55743,94.0146,73.629,33.6754,7.4826,9.8906,0
355.3141,30.1788,16.0072,0.84774,428.5303,21.2697,0.82915,0.49195,100.9342,79.5616,38.6344,7.2189,18.3095,0
354.8834,26.722,18.0035,0.73898,435.852,21.2568,0.81423,0.62424,97.3904,76.9609,34.4909,7.9025,18.3561,0
462.1237,27.4966,23.454,0.52195,576.6855,24.2568,0.80134,0.60966,105.8076,86.1984,44.7,9.1877,14.3719,0
462.5543,30.5668,21.1349,0.72244,590.8981,24.2681,0.7828,0.54297,114.4428,87.9579,43.003,7.9025,14.1,0
462.985,27.9905,23.0989,0.56478,581.4231,24.2794,0.7963,0.55786,110.6332,86.7523,42.7312,9.1877,13.4438,0
461.2623,28.4951,22.5621,0.6108,579.7003,24.2342,0.79569,0.55781,117.0869,86.5679,36.5063,9.6896,12.7875,0
462.5543,28.4957,22.631,0.60767,576.6855,24.2681,0.80209,0.55734,112.2351,86.308,42.1409,8.8291,14.2126,0
462.985,27.7681,23.2928,0.54439,588.7447,24.2794,0.78639,0.53323,114.9586,87.3121,42.3001,9.3273,14.1,0
462.5543,31.7856,20.33,0.76871,586.5913,24.2681,0.78855,0.54796,117.8088,90.5679,44.9718,8.5566,15.8436,0
375.1255,26.0555,19.441,0.66579,437.144,21.8546,0.85813,0.67677,88.7657,76.3801,32.8406,7.9838,11.0905,0
373.4028,25.4813,19.9302,0.62309,444.8963,21.8044,0.8393,0.55577,94.7417,77.3467,31.9125,7.9025,12.7875,0
375.1255,25.289,20.1339,0.60509,448.3418,21.8546,0.8367,0.64044,92.6036,77.0803,32.5687,7.9025,10.0032,0
375.5562,24.1048,21.1118,0.48261,442.7429,21.8672,0.84825,0.60556,93.4607,76.0874,30.7125,8.1175,8.8033,0
374.6949,30.9197,16.441,0.84691,443.6043,21.8421,0.84466,0.53114,96.3154,81.5475,38.2966,7.4826,15.4126,0
373.8335,27.838,18.2246,0.75592,450.4952,21.817,0.82983,0.62267,99.3546,79.1534,35.8967,7.8752,10.1624,0
377.279,23.9684,21.2764,0.46045,445.7577,21.9173,0.84638,0.56371,100.3055,76.321,31.4814,8.223,10.275,0
372.1108,27.0935,20.3168,0.66158,474.6135,21.7666,0.78403,0.55385,92.1252,79.0996,33.5435,9.1877,12.2438,0
372.9721,29.6318,18.6794,0.77628,488.8261,21.7918,0.763,0.54672,105.8247,81.5856,37.5937,8.0107,13.9874,0
372.1108,26.9154,20.5458,0.64599,485.3806,21.7666,0.76664,0.56104,100.0502,79.6476,32.4095,8.8291,12.9467,0
372.9721,28.2849,19.589,0.72136,487.1033,21.7918,0.76569,0.53457,104.4787,80.945,36.0093,8.5314,14.1,0
370.8187,24.1025,22.8278,0.32089,481.5044,21.7288,0.77013,0.56645,99.0566,79.0182,35.5589,7.9838,12.5157,0
372.5414,25.6538,21.4916,0.54605,485.8113,21.7792,0.76684,0.55449,97.3195,78.9802,34.9027,8.5314,11.8594,0
372.9721,27.138,20.2725,0.66481,481.5044,21.7918,0.7746,0.56234,97.1522,79.2138,34.6501,8.9262,12.6749,0
519.4046,29.7972,24.0293,0.59133,639.9961,25.7163,0.81157,0.7028,122.4157,90.0514,42.3468,10.5002,14.4845,0
519.8353,33.3297,21.4986,0.76416,650.7631,25.7269,0.79881,0.59605,132.452,93.9214,41.3527,9.1171,16.6125,0
